case;event;time;Resource
3347;5;08.03.2012-11:09:09;1
3347;1;28.03.2012-08:58:02;0
3347;5;28.03.2012-14:46:46;0
3347;2;02.04.2012-12:35:15;0
3347;3;18.04.2012-07:40:26;4
3348;0;24.05.2013-09:17:42;13
3348;1;10.06.2013-08:03:16;1
3348;5;10.06.2013-08:30:04;3
3348;2;12.06.2013-10:56:45;3
3348;3;27.06.2013-10:57:04;2
3349;0;17.05.2010-09:07:10;1
3349;1;17.05.2010-09:20:20;15
3349;2;17.05.2010-09:26:33;15
3349;3;23.06.2010-09:10:35;4
3350;0;16.01.2013-16:28:33;12
3350;1;01.02.2013-16:07:05;1
3350;2;01.02.2013-16:12:50;0
3350;2;01.02.2013-16:12:51;0
3350;3;16.02.2013-16:13:05;2
3351;0;20.04.2012-10:42:46;0
3351;1;02.05.2012-14:15:50;9
3351;2;10.05.2012-08:50:41;0
3351;3;09.06.2012-08:51:07;4
3352;0;27.07.2012-14:52:58;0
3352;1;27.07.2012-15:47:56;3
3352;2;03.08.2012-12:14:06;3
3352;3;02.09.2012-15:01:37;4
3353;0;07.07.2010-13:23:49;5
3353;5;07.07.2010-13:52:41;5
3353;1;06.08.2010-14:05:55;5
3353;2;06.08.2010-14:07:10;5
3353;3;21.08.2010-14:07:29;4
3354;0;26.04.2011-13:09:08;7
3354;1;26.04.2011-13:12:18;11
3354;2;28.04.2011-11:16:15;16
3354;3;09.06.2011-13:10:22;4
3355;0;06.12.2010-15:50:40;1
3355;1;06.12.2010-15:51:04;1
3355;2;07.12.2010-10:29:39;1
3355;3;13.01.2011-16:00:49;4
3356;0;29.07.2013-13:53:36;13
3356;1;30.08.2013-15:24:10;11
3356;5;10.09.2013-08:58:45;0
3356;2;10.09.2013-10:41:51;0
3356;3;25.09.2013-10:42:06;2
3357;0;24.05.2013-15:45:06;13
3357;1;10.06.2013-08:00:16;1
3357;7;10.06.2013-12:53:42;0
3357;2;05.07.2013-15:50:49;8
3357;3;20.07.2013-15:51:01;2
3358;0;23.11.2010-16:30:42;1
3358;0;23.11.2010-16:31:10;1
3358;1;24.11.2010-10:35:04;6
3358;2;25.11.2010-11:20:43;1
3358;3;25.12.2010-16:40:33;4
3359;0;03.04.2013-08:44:20;0
3359;1;10.04.2013-07:52:26;1
3359;2;24.04.2013-08:46:57;0
3359;3;09.05.2013-08:47:18;2
3360;0;27.10.2011-15:12:46;0
3360;1;02.11.2011-10:35:52;8
3360;2;03.11.2011-09:22:16;8
3360;3;25.12.2011-16:21:09;4
3361;0;02.08.2013-14:02:51;13
3361;1;16.08.2013-09:17:20;8
3361;5;20.08.2013-09:27:48;8
3361;2;12.09.2013-09:58:00;8
3361;3;27.09.2013-09:58:19;2
3362;0;25.10.2010-13:43:32;1
3362;1;25.10.2010-13:44:15;1
3362;2;25.10.2010-14:33:58;1
3362;3;26.11.2010-14:50:15;4
3363;0;30.05.2012-13:30:00;3
3363;5;31.05.2012-07:13:54;5
3363;5;31.05.2012-07:13:55;5
3363;2;31.05.2012-07:58:47;5
3363;3;14.07.2012-08:00:31;4
3364;0;19.10.2010-13:45:13;1
3364;1;20.10.2010-14:15:34;6
3364;2;20.10.2010-14:15:45;6
3364;3;20.11.2010-14:50:15;4
3365;0;30.12.2010-08:55:40;12
3365;0;10.01.2011-15:25:20;1
3365;1;10.01.2011-15:25:25;1
3365;5;11.01.2011-15:11:01;8
3365;5;17.01.2011-15:41:18;1
3365;1;21.01.2011-08:27:04;8
3365;2;21.01.2011-08:27:13;8
3365;3;05.02.2011-08:27:27;4
3366;0;02.01.2012-08:09:36;0
3366;1;02.01.2012-08:09:51;0
3366;2;02.01.2012-08:29:11;8
3366;2;02.01.2012-08:29:12;8
3366;3;03.02.2012-08:10:57;4
3367;0;26.05.2010-14:31:04;14
3367;1;27.05.2010-15:48:52;10
3367;2;28.05.2010-09:05:02;10
3367;3;18.07.2010-14:40:34;4
3368;0;21.09.2010-16:07:06;8
3368;1;23.09.2010-06:55:22;8
3368;2;23.09.2010-06:55:41;8
3368;3;28.10.2010-16:00:25;4
3369;0;28.04.2011-07:49:03;8
3369;1;28.04.2011-07:49:14;8
3369;2;28.04.2011-09:39:48;8
3369;1;28.04.2011-13:08:04;8
3369;2;02.05.2011-13:17:15;1
3369;3;04.06.2011-07:50:31;4
3370;0;24.07.2012-14:56:45;0
3370;1;25.07.2012-13:38:16;3
3370;5;27.07.2012-09:12:29;3
3370;2;31.07.2012-13:07:55;3
3370;3;01.09.2012-08:14:11;4
3371;0;11.04.2013-10:24:10;1
3371;1;11.04.2013-10:25:34;1
3371;5;11.04.2013-12:18:23;1
3371;2;03.05.2013-07:33:10;1
3371;3;18.05.2013-07:33:32;2
3372;0;04.01.2013-16:56:14;0
3372;1;21.01.2013-16:11:14;1
3372;2;22.01.2013-09:03:01;8
3372;3;06.02.2013-09:03:16;2
3373;0;30.03.2012-14:38:42;0
3373;1;30.03.2012-14:38:53;0
3373;2;30.03.2012-15:55:39;0
3373;3;09.05.2012-14:44:03;4
3374;0;09.05.2012-08:41:02;0
3374;1;09.05.2012-08:41:13;0
3374;2;09.05.2012-09:17:27;0
3374;3;09.06.2012-08:51:23;4
3375;0;26.11.2012-16:26:36;3
3375;1;20.12.2012-08:36:03;8
3375;2;21.12.2012-08:23:15;8
3375;3;05.01.2013-08:23:31;2
3376;0;11.01.2012-08:03:49;0
3376;1;11.01.2012-08:04:06;0
3376;2;11.01.2012-16:44:22;0
3376;3;11.02.2012-08:10:57;4
3377;0;15.12.2011-08:33:36;0
3377;1;21.12.2011-16:04:20;8
3377;2;21.12.2011-16:04:29;8
3377;3;17.01.2012-08:40:40;4
3378;0;01.04.2011-12:07:42;7
3378;1;08.04.2011-15:41:29;5
3378;2;19.04.2011-09:57:50;16
3378;3;04.05.2011-09:58:02;4
3379;0;07.10.2011-07:11:30;0
3379;1;07.10.2011-07:11:59;0
3379;2;07.10.2011-08:10:14;0
3379;3;13.11.2011-08:21:02;4
3380;0;04.05.2012-15:56:52;0
3380;1;10.05.2012-09:02:37;0
3380;2;10.05.2012-13:06:46;0
3380;3;21.06.2012-16:00:42;4
3381;0;05.02.2013-16:56:48;0
3381;1;07.02.2013-09:07:20;8
3381;2;01.03.2013-09:18:57;8
3381;3;16.03.2013-09:19:16;2
3382;0;17.04.2012-07:46:35;3
3382;1;20.04.2012-09:36:37;8
3382;2;20.04.2012-11:05:40;8
3382;3;02.06.2012-07:50:28;4
3383;0;26.01.2011-10:50:58;7
3383;0;27.01.2011-08:05:05;1
3383;1;27.01.2011-08:05:12;1
3383;2;27.01.2011-14:20:55;8
3383;3;13.03.2011-11:00:42;4
3384;0;03.02.2011-11:17:00;7
3384;0;18.02.2011-11:47:16;1
3384;1;18.02.2011-11:47:33;1
3384;5;21.02.2011-08:39:37;8
3384;1;21.02.2011-10:36:24;8
3384;2;21.02.2011-10:37:02;8
3384;3;08.03.2011-10:37:11;4
3385;0;21.05.2010-07:23:26;1
3385;1;24.05.2010-13:17:32;1
3385;6;24.05.2010-13:17:43;1
3385;2;31.05.2010-07:36:08;1
3385;3;22.06.2010-07:30:28;4
3386;0;09.07.2012-12:29:19;0
3386;1;10.07.2012-10:36:39;1
3386;2;10.07.2012-10:42:12;1
3386;3;06.09.2012-12:30:59;4
3387;0;19.05.2011-12:45:57;7
3387;1;19.05.2011-12:46:21;7
3387;1;27.05.2011-12:35:54;1
3387;5;14.06.2011-15:08:40;1
3387;1;15.06.2011-12:43:39;1
3387;2;15.06.2011-12:43:54;1
3387;3;30.06.2011-12:44:11;4
3388;0;09.03.2010-09:08:53;10
3388;1;09.03.2010-09:09:07;10
3388;2;09.03.2010-09:42:22;10
3388;3;09.04.2010-08:10:33;4
3389;0;02.02.2011-11:51:22;12
3389;1;18.02.2011-11:42:38;12
3389;2;21.02.2011-08:07:10;12
3389;3;23.03.2011-08:07:47;4
3390;0;22.02.2012-09:29:01;0
3390;1;22.02.2012-09:29:13;0
3390;1;06.03.2012-08:17:48;1
3390;2;09.03.2012-16:06:44;1
3390;3;24.03.2012-16:07:00;4
3391;0;25.05.2011-09:16:25;7
3391;1;25.05.2011-09:16:44;7
3391;2;25.05.2011-10:45:29;7
3391;3;25.06.2011-09:21:23;4
3392;0;19.07.2012-09:04:58;3
3392;1;19.07.2012-09:05:23;3
3392;2;19.07.2012-09:35:41;3
3392;3;10.09.2012-09:11:10;4
3393;0;04.05.2012-08:28:29;8
3393;1;04.05.2012-08:31:43;10
3393;2;04.05.2012-09:28:51;10
3393;3;28.06.2012-08:30:39;4
3394;0;18.07.2012-10:27:00;0
3394;1;19.07.2012-07:20:40;12
3394;2;31.07.2012-08:14:00;12
3394;3;02.09.2012-10:30:27;4
3395;0;24.03.2011-10:21:27;7
3395;1;24.03.2011-10:41:58;7
3395;2;24.03.2011-14:13:39;1
3395;3;26.04.2011-09:31:16;4
3396;0;27.10.2011-14:57:59;0
3396;1;28.10.2011-07:33:38;1
3396;2;28.10.2011-08:43:32;1
3396;3;14.12.2011-16:00:22;4
3397;0;20.02.2013-10:46:47;1
3397;1;27.02.2013-15:38:44;11
3397;2;08.03.2013-08:32:21;10
3397;3;23.03.2013-08:32:35;2
3398;0;15.05.2012-15:34:15;0
3398;1;15.05.2012-15:34:23;0
3398;2;16.05.2012-13:27:06;0
3398;3;15.06.2012-15:41:21;4
3399;0;23.06.2011-14:32:21;7
3399;0;23.06.2011-14:32:40;7
3399;1;27.06.2011-09:29:08;1
3399;2;27.06.2011-09:39:38;1
3399;3;10.08.2011-14:40:31;4
3400;0;06.06.2012-08:40:42;3
3400;1;07.06.2012-07:42:04;0
3400;2;07.06.2012-14:10:26;0
3400;2;07.06.2012-14:10:26;0
3400;3;07.07.2012-08:50:19;4
3401;0;13.04.2011-07:59:07;7
3401;1;13.04.2011-08:14:00;8
3401;2;14.04.2011-10:39:37;8
3401;3;18.05.2011-08:00:34;4
3402;0;26.02.2013-10:58:26;0
3402;1;08.04.2013-08:00:58;1
3402;2;11.04.2013-13:38:57;1
3402;3;26.04.2013-13:39:10;2
3403;0;02.01.2012-10:27:38;0
3403;1;02.01.2012-10:28:56;0
3403;2;02.01.2012-13:21:41;0
3403;3;02.02.2012-10:31:14;4
3404;0;22.12.2011-16:08:10;0
3404;5;22.12.2011-16:08:31;0
3404;1;27.12.2011-09:02:12;0
3404;2;27.12.2011-09:02:43;0
3404;2;27.12.2011-09:02:44;0
3404;3;09.02.2012-09:11:18;4
3405;0;13.06.2012-12:17:48;3
3405;1;14.06.2012-09:58:14;8
3405;5;14.06.2012-10:04:02;8
3405;2;15.06.2012-09:38:06;8
3405;3;17.07.2012-10:50:46;4
3406;0;03.07.2012-07:25:18;0
3406;1;03.07.2012-07:25:27;0
3406;2;03.07.2012-08:55:33;0
3406;3;03.08.2012-07:30:53;4
3407;0;20.04.2012-10:15:01;8
3407;1;23.04.2012-08:11:07;3
3407;5;24.04.2012-10:50:55;1
3407;2;14.05.2012-07:24:06;3
3407;3;16.06.2012-15:50:19;4
3408;0;06.11.2013-16:30:58;1
3408;1;06.11.2013-16:33:16;1
3408;6;06.11.2013-16:35:40;1
3408;10;12.12.2013-16:29:05;21
3408;10;12.12.2013-16:29:08;21
3408;7;12.12.2013-17:04:34;1
3409;0;09.02.2012-16:54:54;0
3409;1;09.02.2012-16:55:04;0
3409;6;14.02.2012-12:01:48;1
3409;2;06.03.2012-10:38:23;1
3409;3;24.03.2012-15:40:19;4
3410;0;27.09.2010-07:01:00;8
3410;1;27.09.2010-07:27:51;1
3410;2;28.09.2010-15:07:31;1
3410;3;03.11.2010-08:10:45;4
3411;0;13.09.2011-07:44:08;1
3411;1;13.09.2011-07:47:47;1
3411;2;14.09.2011-07:13:41;1
3411;3;14.10.2011-07:50:21;4
3412;0;31.07.2012-14:41:57;0
3412;1;31.07.2012-15:53:18;3
3412;5;03.08.2012-13:01:45;3
3412;2;06.08.2012-07:45:30;12
3412;3;08.09.2012-09:30:51;4
3413;0;31.03.2011-13:42:31;7
3413;1;31.03.2011-13:42:42;7
3413;2;31.03.2011-13:42:59;7
3413;3;28.05.2011-13:50:25;4
3414;0;21.06.2010-10:38:16;15
3414;1;21.06.2010-11:04:02;15
3414;5;21.06.2010-11:05:08;15
3414;1;21.06.2010-13:13:17;15
3414;2;21.06.2010-13:13:24;15
3414;3;04.08.2010-10:40:36;4
3415;0;02.08.2012-15:12:42;0
3415;2;10.08.2012-14:45:36;3
3415;3;09.09.2012-14:46:02;4
3416;0;19.03.2012-10:13:37;0
3416;1;19.03.2012-10:13:48;0
3416;2;19.03.2012-11:09:41;0
3416;3;04.05.2012-09:20:29;4
3417;0;12.02.2013-13:54:19;0
3417;1;12.02.2013-13:55:01;0
3417;7;20.02.2013-08:05:29;1
3417;2;06.03.2013-13:24:10;1
3417;3;21.03.2013-13:24:23;2
3418;0;31.05.2013-12:49:31;0
3418;1;14.06.2013-15:30:25;8
3418;2;17.06.2013-07:13:00;8
3418;3;02.07.2013-07:13:11;2
3419;0;14.09.2011-14:42:39;0
3419;1;26.09.2011-15:58:21;1
3419;2;28.09.2011-10:07:09;1
3419;3;28.10.2011-14:50:28;4
3420;0;09.07.2010-14:43:39;18
3420;1;30.07.2010-13:57:55;18
3420;2;30.07.2010-14:04:50;18
3420;3;14.08.2010-14:04:59;4
3421;0;04.07.2012-12:47:04;3
3421;1;04.07.2012-12:47:31;3
3421;2;06.07.2012-13:16:03;3
3421;3;04.08.2012-12:50:18;4
3422;0;05.07.2011-10:25:29;12
3422;1;05.07.2011-14:52:10;10
3422;5;05.07.2011-14:59:33;10
3422;5;20.07.2011-08:39:27;1
3422;1;21.07.2011-13:26:15;10
3422;2;21.07.2011-13:28:48;10
3422;3;05.08.2011-13:29:13;4
3423;0;10.11.2011-16:38:03;3
3423;1;14.11.2011-13:40:06;3
3423;5;18.11.2011-15:54:15;3
3423;2;16.12.2011-14:03:14;3
3423;3;31.12.2011-14:50:33;4
3424;0;03.01.2012-14:34:30;0
3424;1;09.01.2012-11:22:28;5
3424;2;09.01.2012-11:27:16;5
3424;3;16.02.2012-14:40:39;4
3425;0;12.09.2012-07:54:49;1
3425;1;01.10.2012-10:54:09;12
3425;2;12.10.2012-15:00:54;12
3425;3;27.10.2012-15:01:02;2
3426;0;17.07.2012-07:24:06;0
3426;1;17.07.2012-13:22:35;5
3426;2;17.07.2012-14:20:57;16
3426;3;14.09.2012-07:30:28;4
3427;0;03.08.2012-12:11:46;0
3427;1;06.08.2012-08:44:28;12
3427;2;27.08.2012-10:23:15;12
3427;3;11.09.2012-10:23:33;2
3428;0;04.04.2011-10:00:31;1
3428;1;04.04.2011-10:00:45;1
3428;2;06.04.2011-10:47:07;1
3428;3;05.05.2011-10:10:19;4
3429;0;09.05.2012-07:06:33;0
3429;1;09.05.2012-07:15:34;12
3429;2;11.05.2012-13:51:10;12
3429;3;09.06.2012-07:10:58;4
3430;0;19.09.2011-07:06:37;0
3430;0;19.09.2011-07:07:48;0
3430;1;19.09.2011-07:27:42;0
3430;2;19.09.2011-12:11:53;5
3430;3;21.10.2011-07:10:34;4
3431;0;27.04.2012-14:43:11;0
3431;1;30.04.2012-13:33:09;0
3431;5;03.05.2012-09:33:52;0
3431;2;03.05.2012-12:22:42;0
3431;3;07.06.2012-07:40:26;4
3432;0;17.01.2011-09:18:12;7
3432;0;27.01.2011-08:10:17;1
3432;1;27.01.2011-08:10:24;1
3432;5;31.01.2011-10:34:12;12
3432;1;31.01.2011-15:13:36;12
3432;2;31.01.2011-15:13:48;12
3432;3;02.03.2011-15:14:08;4
3433;0;16.05.2012-12:44:36;8
3433;1;16.05.2012-12:44:48;8
3433;5;16.05.2012-12:56:59;10
3433;1;18.05.2012-07:06:16;10
3433;2;18.05.2012-07:07:38;10
3433;3;09.07.2012-16:01:15;4
3434;0;28.09.2011-07:15:43;0
3434;0;28.09.2011-07:16:09;0
3434;1;30.09.2011-08:06:18;5
3434;2;03.10.2011-09:42:08;5
3434;3;11.11.2011-08:20:55;4
3435;0;27.09.2013-10:26:27;17
3435;1;27.09.2013-13:31:53;8
3435;5;30.09.2013-14:24:48;8
3435;5;14.10.2013-08:25:46;8
3435;5;21.10.2013-07:40:04;8
3435;5;22.10.2013-12:17:56;1
3435;2;25.10.2013-08:46:38;1
3435;3;09.11.2013-09:46:53;2
3436;0;25.11.2011-15:42:01;3
3436;1;25.11.2011-15:46:26;3
3436;2;28.11.2011-08:55:07;3
3436;3;15.01.2012-02:02:25;4
3437;0;28.02.2012-11:28:59;0
3437;1;28.02.2012-15:38:48;12
3437;2;07.03.2012-16:24:20;12
3437;3;30.03.2012-10:31:00;4
3438;1;23.11.2012-10:30:32;0
3438;2;23.11.2012-11:58:46;0
3438;1;23.11.2012-16:09:28;1
3438;5;26.11.2012-08:31:00;0
3438;1;29.11.2012-08:07:05;0
3438;5;30.11.2012-16:43:05;0
3438;2;10.12.2012-14:39:46;0
3438;3;25.12.2012-14:39:58;2
3439;0;02.04.2013-12:34:56;1
3439;1;04.04.2013-07:46:17;1
3439;5;18.04.2013-07:24:35;1
3439;2;03.05.2013-10:14:21;1
3439;3;18.05.2013-10:14:42;2
3440;0;02.08.2010-11:11:38;8
3440;1;03.09.2010-13:18:12;1
3440;2;03.09.2010-13:18:27;1
3440;3;18.09.2010-13:18:47;4
3441;0;06.08.2013-15:47:01;3
3441;1;29.08.2013-08:52:25;1
3441;2;29.08.2013-09:10:57;1
3441;3;13.09.2013-09:11:08;2
3442;0;12.11.2013-08:05:33;0
3442;1;14.11.2013-16:08:00;1
3442;7;28.11.2013-07:48:09;1
3442;2;23.12.2013-08:10:53;0
3443;0;25.02.2013-08:48:42;3
3443;6;25.03.2013-11:06:24;1
3443;6;25.03.2013-11:06:25;1
3443;10;03.04.2013-14:53:30;21
3443;10;03.04.2013-14:53:33;21
3443;7;03.04.2013-14:58:01;1
3443;2;08.04.2013-15:38:33;1
3443;3;23.04.2013-15:38:49;2
3444;0;24.05.2011-14:58:38;7
3444;1;24.05.2011-14:59:05;7
3444;2;25.05.2011-10:56:45;1
3444;3;24.06.2011-15:00:21;4
3445;0;13.02.2012-15:29:36;3
3445;1;13.02.2012-15:30:02;3
3445;2;15.02.2012-09:18:13;3
3445;3;30.03.2012-14:31:24;4
3446;0;21.11.2011-13:28:17;3
3446;1;22.11.2011-09:23:42;5
3446;2;23.11.2011-10:34:16;0
3446;2;23.11.2011-10:34:17;0
3446;3;22.12.2011-13:30:17;4
3447;0;21.03.2013-13:16:02;0
3447;1;08.04.2013-07:12:23;8
3447;2;08.04.2013-09:59:38;8
3447;3;23.04.2013-09:59:59;2
3448;0;09.04.2013-07:32:49;0
3448;0;09.04.2013-09:15:37;0
3448;1;17.05.2013-13:46:18;1
3448;5;22.05.2013-12:34:35;1
3448;2;22.05.2013-13:40:33;1
3448;3;06.06.2013-13:40:51;2
3449;0;15.06.2011-10:06:19;1
3449;1;15.06.2011-10:06:37;1
3449;5;15.06.2011-16:02:15;1
3449;1;16.06.2011-13:07:06;1
3449;2;16.06.2011-13:07:16;1
3449;1;19.07.2011-07:54:21;9
3449;2;19.07.2011-13:46:37;6
3449;3;03.08.2011-13:46:53;4
3450;4;30.03.2011-14:27:22;7
3450;0;30.03.2011-14:29:15;7
3450;1;30.03.2011-15:31:14;12
3450;2;30.03.2011-15:33:15;12
3450;3;15.05.2011-14:30:23;4
3451;0;21.07.2010-10:35:41;6
3451;1;22.07.2010-14:24:16;18
3451;2;22.07.2010-14:24:23;18
3451;3;28.08.2010-10:40:37;4
3452;0;16.02.2011-11:44:57;7
3452;0;16.02.2011-11:45:11;7
3452;1;16.02.2011-11:45:49;7
3452;2;18.02.2011-16:24:46;1
3452;3;03.04.2011-07:10:00;4
3453;0;31.10.2013-13:28:07;8
3453;1;31.10.2013-14:49:00;1
3453;1;07.11.2013-10:20:55;13
3453;5;07.11.2013-11:27:40;13
3453;2;22.11.2013-14:56:46;13
3453;3;07.12.2013-14:57:03;2
3454;0;31.03.2011-07:56:52;12
3454;1;31.03.2011-07:57:04;12
3454;2;31.03.2011-07:58:50;12
3454;3;18.05.2011-08:00:40;4
3455;0;13.01.2012-16:34:37;8
3455;0;13.01.2012-16:34:52;8
3455;0;13.01.2012-16:34:57;8
3455;1;16.01.2012-08:40:11;5
3455;2;16.01.2012-14:06:13;5
3455;3;26.02.2012-16:40:57;4
3456;0;24.03.2010-15:34:59;1
3456;1;24.03.2010-15:35:09;1
3456;5;16.04.2010-15:46:31;1
3456;1;20.04.2010-07:23:17;1
3456;2;20.04.2010-07:23:21;1
3456;3;20.05.2010-07:23:43;4
3457;0;07.02.2012-16:01:46;3
3457;2;07.02.2012-16:02:54;3
3457;3;09.03.2012-16:10:17;4
3458;4;09.04.2010-14:45:30;14
3458;0;09.04.2010-15:34:11;15
3458;1;12.04.2010-07:36:49;1
3458;2;12.04.2010-14:47:21;1
3458;3;12.05.2010-14:50:16;4
3459;0;23.04.2010-09:22:32;1
3459;1;20.05.2010-08:42:16;1
3459;2;20.05.2010-08:42:43;1
3459;3;04.06.2010-08:42:59;4
3460;0;27.01.2012-10:22:17;0
3460;1;27.01.2012-10:22:25;0
3460;2;27.01.2012-13:45:47;0
3460;3;15.03.2012-10:30:24;4
3461;0;28.06.2013-09:34:53;13
3461;1;28.06.2013-09:36:05;13
3461;5;28.06.2013-09:38:48;13
3461;2;23.07.2013-07:29:26;13
3461;3;07.08.2013-07:29:45;2
3462;0;15.10.2010-10:41:31;8
3462;1;15.10.2010-15:16:21;13
3462;2;15.10.2010-16:06:03;13
3462;3;28.11.2010-11:50:24;4
3463;0;06.12.2011-11:22:22;0
3463;1;06.12.2011-11:22:30;0
3463;5;07.12.2011-13:47:31;0
3463;1;13.12.2011-14:20:21;0
3463;2;13.12.2011-16:21:35;0
3463;3;12.01.2012-16:21:59;4
3464;0;18.11.2013-13:34:04;0
3464;1;02.12.2013-14:55:40;8
3464;5;03.12.2013-09:41:40;8
3464;2;06.12.2013-10:56:04;8
3464;3;21.12.2013-10:56:20;2
3465;0;18.06.2012-14:18:28;12
3465;1;19.06.2012-08:16:23;8
3465;2;19.06.2012-10:54:03;8
3465;3;03.08.2012-14:23:25;4
3466;0;30.03.2012-10:18:01;0
3466;1;02.04.2012-07:56:28;5
3466;2;03.04.2012-13:56:52;5
3466;1;16.04.2012-14:15:31;5
3466;2;17.04.2012-07:13:36;5
3466;3;02.05.2012-07:13:49;4
3467;0;04.04.2012-12:24:20;3
3467;0;04.04.2012-12:25:15;3
3467;1;04.04.2012-12:38:22;5
3467;2;05.04.2012-11:24:08;15
3467;3;18.05.2012-12:30:38;4
3468;0;06.03.2012-09:41:41;0
3468;1;06.03.2012-09:42:37;0
3468;2;14.03.2012-13:27:55;0
3468;3;04.05.2012-08:50:34;4
3469;0;15.11.2011-09:31:22;0
3469;1;17.11.2011-12:00:08;11
3469;2;17.11.2011-12:00:54;11
3469;3;29.12.2011-09:40:40;4
3470;0;21.10.2011-10:47:32;0
3470;1;24.10.2011-15:32:26;8
3470;2;24.10.2011-15:40:28;14
3470;3;23.11.2011-11:50:41;4
3471;0;30.11.2011-08:35:44;0
3471;1;05.12.2011-08:08:23;8
3471;5;07.12.2011-11:33:13;8
3471;2;12.12.2011-11:04:55;8
3471;3;05.01.2012-08:10:44;4
3472;0;13.07.2012-10:32:10;12
3472;1;13.07.2012-13:17:57;12
3472;2;13.07.2012-13:25:51;12
3472;3;03.09.2012-10:40:29;4
3473;0;02.03.2012-10:21:35;0
3473;1;02.03.2012-10:21:43;0
3473;2;02.03.2012-10:51:21;12
3473;3;19.04.2012-09:30:48;4
3474;0;02.09.2013-13:32:56;17
3474;1;10.09.2013-09:47:40;1
3474;2;09.10.2013-13:49:52;0
3474;3;24.10.2013-13:50:11;2
3475;0;02.08.2011-14:55:50;12
3475;0;04.08.2011-10:57:01;1
3475;1;04.08.2011-10:57:13;1
3475;2;04.08.2011-11:05:55;1
3475;3;24.09.2011-15:00:37;4
3476;0;11.07.2012-07:09:16;0
3476;1;11.07.2012-14:51:15;0
3476;2;11.07.2012-15:24:20;0
3476;3;02.09.2012-07:10:21;4
3477;0;20.12.2011-17:04:31;0
3477;2;21.12.2011-14:13:43;0
3477;2;21.12.2011-14:13:43;0
3477;3;20.01.2012-17:00:33;4
3478;0;09.12.2010-11:20:14;7
3478;1;09.12.2010-16:32:36;1
3478;5;14.12.2010-11:12:18;1
3478;1;16.12.2010-09:53:51;1
3478;2;16.12.2010-09:59:24;1
3478;3;30.01.2011-10:00:04;4
3479;0;07.05.2012-14:59:09;8
3479;2;07.05.2012-15:23:01;8
3479;3;28.06.2012-15:00:28;4
3480;4;25.01.2011-13:33:04;7
3480;0;25.01.2011-13:33:18;7
3480;1;25.01.2011-13:33:28;7
3480;2;25.01.2011-13:35:22;7
3480;3;10.03.2011-13:40:34;4
3481;0;26.02.2010-10:16:38;1
3481;0;26.02.2010-10:19:46;1
3481;1;11.03.2010-14:29:07;1
3481;5;11.03.2010-14:29:11;1
3481;1;09.04.2010-13:46:37;1
3481;2;09.04.2010-13:46:44;1
3481;3;24.04.2010-13:46:56;4
3482;0;09.01.2012-11:04:38;3
3482;1;09.01.2012-11:05:05;3
3482;2;09.01.2012-13:35:09;3
3482;3;09.02.2012-11:10:15;4
3483;0;12.12.2011-15:15:44;8
3483;2;12.12.2011-15:16:05;8
3483;3;18.01.2012-15:21:00;4
3484;0;09.02.2012-08:12:55;0
3484;1;09.02.2012-08:14:00;3
3484;2;09.02.2012-08:39:32;3
3484;2;09.02.2012-08:39:32;3
3484;3;13.03.2012-08:20:53;4
3485;0;01.06.2012-13:06:53;0
3485;1;04.06.2012-07:57:51;1
3485;5;06.06.2012-09:37:27;6
3485;2;26.06.2012-12:20:46;1
3485;3;14.07.2012-15:00:26;4
3486;0;20.10.2011-10:38:24;0
3486;2;20.10.2011-14:26:28;0
3486;3;03.12.2011-11:40:31;4
3487;0;17.06.2011-08:02:53;1
3487;1;17.06.2011-12:26:52;1
3487;2;17.06.2011-12:28:55;1
3487;3;22.07.2011-08:10:33;4
3488;0;30.05.2011-09:40:52;7
3488;1;30.05.2011-09:41:27;7
3488;5;30.05.2011-09:41:39;7
3488;1;31.05.2011-08:34:12;7
3488;2;31.05.2011-08:34:20;7
3488;3;17.07.2011-08:40:31;4
3489;0;10.09.2010-07:39:08;8
3489;1;10.09.2010-07:40:21;8
3489;5;10.09.2010-07:40:42;8
3489;1;13.09.2010-10:51:06;4
3489;5;13.09.2010-10:51:13;4
3489;1;16.09.2010-10:21:28;8
3489;2;16.09.2010-10:21:52;8
3489;3;16.10.2010-07:11:19;4
3490;0;21.03.2012-10:34:02;0
3490;2;21.03.2012-10:50:13;0
3490;3;21.04.2012-09:40:41;4
3491;0;18.02.2011-14:48:56;7
3491;1;18.02.2011-15:03:10;7
3491;2;18.02.2011-15:30:14;7
3491;3;03.04.2011-13:51:51;4
3492;0;12.01.2011-09:25:58;1
3492;1;12.01.2011-09:26:07;1
3492;2;12.01.2011-10:18:40;1
3492;3;12.02.2011-09:30:17;4
3493;0;08.07.2011-10:52:52;1
3493;1;11.07.2011-07:13:05;9
3493;2;11.07.2011-10:09:54;6
3493;3;17.08.2011-11:01:00;4
3494;0;27.06.2012-07:55:50;0
3494;1;27.06.2012-07:56:01;0
3494;2;28.06.2012-08:50:39;0
3494;3;12.08.2012-08:00:38;4
3495;0;17.11.2011-09:41:06;0
3495;1;18.11.2011-09:29:24;15
3495;2;23.11.2011-13:24:08;15
3495;3;31.12.2011-09:50:30;4
3496;0;19.07.2012-16:03:57;0
3496;1;23.07.2012-07:14:09;5
3496;2;26.07.2012-10:21:02;5
3496;3;05.09.2012-16:00:22;4
3497;0;23.11.2012-08:42:06;0
